make,model,year,cylinders,displ,fuelType,VClass,mpg
89,1982,1993,4.0,-0.645728649190868,12,4,19
89,1982,1993,4.0,-0.645728649190868,12,4,20
89,1982,1993,4.0,-0.645728649190868,12,4,19
43,2221,1985,8.0,1.820168928172652,12,30,13
89,1982,1993,4.0,-0.645728649190868,12,4,21
89,1983,1993,4.0,-1.0940736632569625,12,4,23
89,1983,1993,4.0,-1.0940736632569625,12,4,20
89,1983,1993,4.0,-1.0940736632569625,12,4,23
89,1983,1993,4.0,-1.0940736632569625,12,4,21
89,1983,1993,4.0,-0.645728649190868,12,4,20
89,1983,1993,4.0,-0.645728649190868,12,4,19
89,1983,1993,4.0,-0.645728649190868,12,4,21
89,1983,1993,4.0,-0.645728649190868,12,4,19
93,1595,1993,4.0,-0.7951769872128993,12,4,21
43,2221,1985,8.0,2.193789773227731,1,30,18
93,1595,1993,6.0,0.02678887190827367,12,4,19
93,1595,1993,6.0,0.02678887190827367,12,4,21
89,1656,1993,6.0,-0.19738363512477344,8,4,19
102,1436,1993,4.0,-1.0940736632569625,12,4,23
102,1436,1993,4.0,-1.0940736632569625,12,4,20
102,1436,1993,4.0,-1.0940736632569625,12,4,23
102,1436,1993,4.0,-1.0940736632569625,12,4,21
102,1436,1993,4.0,-0.645728649190868,12,4,19
102,1436,1993,4.0,-0.645728649190868,12,4,20
102,1436,1993,4.0,-0.645728649190868,12,4,19
32,1360,1985,4.0,-0.7951769872128993,8,28,20
43,2221,1985,8.0,2.193789773227731,1,30,17
102,1436,1993,4.0,-0.645728649190868,12,4,21
134,1252,1993,4.0,-0.7951769872128993,12,4,21
134,1252,1993,6.0,-0.19738363512477344,12,4,19
140,3367,1993,4.0,-0.9446253252349309,12,4,21
140,3367,1993,4.0,-0.9446253252349309,12,4,22
140,3367,1993,6.0,-0.3468319731468051,12,4,18
140,3367,1993,6.0,-0.3468319731468051,12,4,20
141,88,1993,4.0,-0.7204528182018839,12,4,20
141,88,1993,4.0,-0.7204528182018839,12,4,21
